subject,rep,total,unique,correct,incorrect,accuracy,p31,p32,p33,p31_mean_rt,p32_mean_rt,p33_mean_rt,p31_std_rt,p32_std_rt,p33_std_rt,dummy_p3_,mean_rt,std_rt,mean_acc,std_acc
y13,rep2,48,24,42,6,0.875,9,12,11,681.8888888888889,670.0,613.6363636363636,57.51835455844605,159.41198768656585,72.86737641396556,4,681.8888888888889,57.51835455844605,0,0
y14,rep1,48,24,46,2,0.9583333333333334,11,11,12,948.0909090909091,749.1818181818181,674.25,338.1885434326405,156.43837008983326,41.987281624103964,2,,,0,0
y14,rep2,48,24,47,1,0.9791666666666666,12,12,12,705.5,653.5833333333334,656.25,61.70236476977052,98.97240968465849,53.986740796404646,0,705.5,61.70236476977052,0,0
y15,rep1,48,24,43,5,0.8958333333333334,9,12,12,744.6666666666666,636.3333333333334,618.75,91.49316914393118,35.927536497620856,91.3605494729536,3,,,0,0
y15,rep2,48,24,41,7,0.8541666666666666,9,10,11,782.4444444444445,697.2,617.1818181818181,125.75284401466942,112.13563216034412,116.09721631617028,6,782.4444444444445,125.75284401466942,0,0
y16,rep1,48,24,43,5,0.8958333333333334,11,10,11,859.6363636363636,745.4,733.3636363636364,105.38621610748982,150.3493709109996,151.1795440707986,4,,,0,0
y16,rep2,48,24,46,2,0.9583333333333334,11,12,12,834.5454545454545,730.25,702.3333333333334,126.12720851296412,145.40359192762241,113.41583449920701,1,834.5454545454545,126.12720851296412,0,0
y17,rep1,48,24,43,5,0.8958333333333334,11,11,11,755.6363636363636,599.2727272727273,622.5454545454545,119.64553708958202,46.59633227860517,42.63417323313221,3,,,0,0
y17,rep2,48,24,45,3,0.9375,10,12,12,721.4,665.8333333333334,635.9166666666666,133.54499865837982,103.27090000517467,74.45615956366335,2,721.4,133.54499865837982,0,0
y18,rep1,48,24,42,6,0.875,11,10,11,777.4545454545455,660.6,738.7272727272727,198.03098931044283,85.38175709391582,168.16128621599614,4,,,0,0
y18,rep2,48,24,46,2,0.9583333333333334,12,12,11,765.8333333333334,637.1666666666666,667.2727272727273,114.01501761796226,102.32286986284981,132.32466958892505,1,765.8333333333334,114.01501761796226,0,0
y19,rep1,48,24,43,5,0.8958333333333334,11,11,11,852.5454545454545,664.2727272727273,663.0,196.76095325870102,90.14553889027555,72.90816140872022,3,,,0,0
y19,rep2,48,24,43,5,0.8958333333333334,9,11,11,830.0,692.7272727272727,667.9090909090909,229.11896473229797,74.47562139262877,126.77969438790626,5,830.0,229.11896473229797,0,0
